name,long,lat,population
Москва,37.617778,55.755833,4542
Ленинград,30.316667,59.950000,3385
Киев,30.516667,50.450000,851
Харьков,36.166667,50.000000,840
Баку,49.835183,40.366656,773
Горький,44.0075,56.326944,644
Одесса,30.727778,46.486111,599
Ташкент,69.266667,41.300000,556
Днепропетровск,35.018155,48.466601,528
Тбилиси,44.800000,41.716667,519
Ростов-на-Дону,39.710556,47.240556,510
Донецк,37.8,48.008889,474
Сталинград,44.513889,48.711667,445
Свердловск,60.583333,56.833333,423
Казань,49.114444,55.790833,406
Новосибирск,82.916667,55.016667,404
